i,Ht,chi
19,2.0,0.4813609179109334
20,6.0,0.5494758039712905
21,6.0,0.5270693581551312
22,6.0,0.411789271980524
23,6.0,0.5066967904567717
24,6.0,0.4040793441236018
25,6.0,0.4437658246606588
26,6.0,0.44759865850210184
27,6.0,0.3617371320724487
28,6.0,0.36109064891934384
29,6.0,0.36891410127282137
0,6.0,0.5019202902913092
1,6.0,0.6231753453612326
2,6.0,0.3405548345763236
3,6.0,0.6920688301324843
4,6.0,0.6445751711726188
5,6.0,0.33004676736891264
6,6.0,0.695984661579132
7,6.0,0.3409137036651372
8,6.0,0.5913214832544326
9,6.0,0.3042479092255234
10,2.0,0.5254956260323523
11,2.0,0.3886616714298724
12,2.0,0.4887440241873263
13,2.0,0.1925267800688743
14,2.0,0.4370766747742891
15,2.0,0.20998670393601054
16,2.0,0.11988445371389388
17,2.0,0.28599532871157857
18,2.0,0.22210320550948376
19,2.0,0.15595455630682403
20,6.0,0.8377005737274884
21,6.0,0.3881929032504558
22,6.0,0.5765673108398913
23,6.0,0.4152771327644586
24,6.0,0.34307874180376524
25,6.0,0.3154280055314302
26,6.0,0.5686926301568745
27,6.0,0.44357884302735323
28,6.0,0.3933370169252156
29,6.0,0.5012867189943789
0,6.0,0.40117040276527394
1,6.0,0.3231423236429691
2,6.0,0.544956337660551
3,6.0,0.334894275991246
4,6.0,0.4256844520568847
5,6.0,0.2499412707984447
6,6.0,0.21266985312104222
7,6.0,0.179971195757389
8,6.0,0.18197799474000928
9,6.0,0.5159700904041528
10,2.0,0.5878675617277621
11,2.0,0.5014696940779685
12,2.0,0.3935182932764291
13,2.0,0.08166847191750999
14,2.0,0.0005948077887296526
15,2.0,0.4304974023252725
16,2.0,0.05863603390753267
17,2.0,0.41109704226255406
18,2.0,0.3698508203960954
19,2.0,0.07549154385924337
20,6.0,0.6370161548256873
21,6.0,0.44482408510521043
22,6.0,0.39897413086146105
23,6.0,0.3313775323331356
24,6.0,0.3395432941615581
25,6.0,0.4751144126057624
26,6.0,0.287854129448533
27,6.0,0.5328049957752227
28,6.0,0.34159718640148634
29,6.0,0.48303449712693686
0,6.0,0.5802746638655661
1,6.0,0.4906373396515845
2,6.0,0.40946377813816065
3,6.0,0.28529494814574713
4,6.0,0.5528114867629482
5,6.0,0.4297284670174121
6,6.0,0.3729755766689776
7,6.0,0.4374101646244525
8,6.0,0.30182966310530895
9,6.0,0.4888980444520711
10,2.0,0.5798206385225056
11,2.0,0.43423164635896677
12,2.0,0.08350905776023862
13,2.0,0.02192924916744231
14,2.0,0.409008476184681
15,2.0,0.27024095598608255
16,2.0,0.24388335645198816
17,2.0,0.28389547858387226
18,2.0,0.30943014658987517
19,2.0,0.3534640022553503
20,6.0,0.5568637731485068
21,6.0,0.2794864531606435
22,6.0,0.45688429195433844
23,6.0,0.35373638570308674
24,6.0,0.31068786606192583
25,6.0,0.4896190239815041
26,6.0,0.40032341051846737
27,6.0,0.38465987332165236
28,6.0,0.340226899832487
29,6.0,0.3202021531760692
0,6.0,0.6638176962733269
1,6.0,0.5621211230754851
2,6.0,0.42153706587851036
3,6.0,0.5483188955113291
4,6.0,0.41589423641562456
5,6.0,0.42645606957376
6,6.0,0.45657388633117074
7,6.0,0.38975594192743296
8,6.0,0.35861401259899134
9,6.0,0.42649933788925404
10,2.0,0.7708619348704814
11,2.0,0.42055878974497307
12,2.0,0.11104899831116197
13,2.0,0.5380499828606843
14,2.0,0.49406114220619196
15,2.0,0.47091729193925846
16,2.0,0.15844270214438436
17,2.0,0.032293029129505144
18,2.0,0.4734405651688575
19,2.0,0.06979772448539732
20,6.0,0.4198938105255365
21,6.0,0.4159159932751208
22,6.0,0.3028843794018029
23,6.0,0.2878410723060369
24,6.0,0.302934406325221
25,6.0,0.2990326797589659
26,6.0,0.307669460074976
27,6.0,0.5128070302307605
28,6.0,0.3238368202000856
29,6.0,0.4815775714814662
0,6.0,0.6299969553947448
1,6.0,0.35534921474754805
2,6.0,0.5938222873955964
3,6.0,0.43247562088072294
4,6.0,0.3225554013624787
5,6.0,0.475765278097242
6,6.0,0.29631686955690373
7,6.0,0.4069974794983863
8,6.0,0.43733912706375117
9,6.0,0.471452660858631
10,2.0,0.3554832711815833
11,2.0,0.2891914695501327
12,2.0,0.23245165497064585
13,2.0,0.23087528347969052
14,2.0,0.2894188649952411
15,2.0,0.13723111897706983
16,2.0,0.26995848119258875
17,2.0,0.1477694436907768
18,2.0,0.14507340639829633
19,2.0,0.22163448855280873
20,6.0,0.5191488228738308
21,6.0,0.3742938172072171
22,6.0,0.42657449003309006
23,6.0,0.4200769616290926
24,6.0,0.38706411793828
25,6.0,0.3373034782707691
26,6.0,0.394757019355893
27,6.0,0.4610324623063206
28,6.0,0.3479097448289393
29,6.0,0.4190853312611579
0,6.0,0.6113136447966098
1,6.0,0.5869739595800637
2,6.0,0.3903695493936538
3,6.0,0.29993844963610167
4,6.0,0.5437927339226006
5,6.0,0.44985973089933384
6,6.0,0.4916922282427548
7,6.0,0.42851041257381434
8,6.0,0.5148605592548846
9,6.0,0.5072932261973618
10,2.0,0.6492057337891309
11,2.0,0.5191830804105847
12,2.0,0.13698448240756986
13,2.0,0.4555466040037571
14,2.0,0.19417417095974082
15,2.0,0.496692344546318
16,2.0,0.15692424867302177
17,2.0,0.4961549546569585
18,2.0,0.3074889509007334
19,2.0,0.30595929920673365
20,6.0,0.5335275791585444
21,6.0,0.38622435554862017
22,6.0,0.5339359156787394
23,6.0,0.39708341285586346
24,6.0,0.2964871227741241
25,6.0,0.5114508140832185
26,6.0,0.3741189502179622
27,6.0,0.5037296749651431
28,6.0,0.38137507811188687
29,6.0,0.2983259074389934
0,6.0,0.550085313618183
1,6.0,0.473251886665821
2,6.0,0.5304567534476518
3,6.0,0.4402239583432674
4,6.0,0.3607115373015403
5,6.0,0.4844883475452661
6,6.0,0.5601702462881802
7,6.0,0.3981596082448959
8,6.0,0.42692402750253666
9,6.0,0.4060665257275104
10,2.0,0.5642470158636569
11,2.0,0.3123915791511535
12,2.0,0.06245387718081473
13,2.0,0.10810012090951202
14,2.0,0.4426243212074041
15,2.0,0.3617321387864649
16,2.0,0.24684672150760884
17,2.0,0.34964262694120407
18,2.0,0.26101874117739493
