Ht,chi,gamma,direction
7.0,0.33637998625636095,1e-07,down
6.8,0.7819487452507017,1e-07,down
6.6,0.35733382403850544,1e-07,down
6.4,0.2210874110460281,1e-07,down
6.2,0.35255650430917734,1e-07,down
6.0,0.12908487766981122,1e-07,down
5.8,0.4819141551852225,1e-07,down
5.6,0.4124573469161987,1e-07,down
5.4,0.31989896297454823,1e-07,down
5.2,0.580835498869419,1e-07,down
5.0,0.2747555822134018,1e-07,down
4.8,0.6677933931350707,1e-07,down
4.6,-0.00042653828859329256,1e-07,down
4.4,0.26709735020995135,1e-07,down
4.2,0.4445091821253299,1e-07,down
4.0,0.29058446362614626,1e-07,down
3.8,0.3908471493050455,1e-07,down
3.6,0.33211838919669384,1e-07,down
3.4,0.8529904931783676,1e-07,down
3.2,0.001810654997825622,1e-07,down
3.0,0.4077699780464172,1e-07,down
2.8,0.3303765505552291,1e-07,down
2.6,0.029545590281486508,1e-07,down
2.4,0.43308769166469563,1e-07,down
2.2,0.4200430400669574,1e-07,down
2.0,0.42632227018475527,1e-07,down
1.8,0.32271542772650713,1e-07,down
1.6,0.6558442302048205,1e-07,down
1.4,0.4477064982056617,1e-07,down
1.2,0.5471974425017834,1e-07,down
1.0,0.32906512543559074,1e-07,down
0.8,-0.0010623782873153682,1e-07,down
0.6,-0.007220685482025145,1e-07,down
0.4,0.004679754376411437,1e-07,down
0.2,0.329482153058052,1e-07,down
-0.0,0.33020403236150736,1e-07,down
-0.0,0.33020403236150736,1e-07,up
0.2,0.0013797730207443233,1e-07,up
0.4,0.006230503320693968,1e-07,up
0.6,-0.0013184398412704463,1e-07,up
0.8,0.012120917439460753,1e-07,up
1.0,0.00043679773807525635,1e-07,up
1.2,8.903443813323984e-05,1e-07,up
1.4,0.014412760734558102,1e-07,up
1.6,0.00831887125968933,1e-07,up
1.8,0.0018570870161056516,1e-07,up
2.0,0.33422318845987314,1e-07,up
2.2,-0.0013211071491241453,1e-07,up
2.4,0.0033943206071853633,1e-07,up
2.6,0.00498780608177185,1e-07,up
2.8,0.40669512376189226,1e-07,up
3.0,-0.0007747858762741065,1e-07,up
3.2,0.35530984774231905,1e-07,up
3.4,0.06971164792776106,1e-07,up
3.6,0.007834136486053467,1e-07,up
3.8,0.40853816643357266,1e-07,up
4.0,0.31047312170267094,1e-07,up
4.2,0.38964908756315697,1e-07,up
4.4,0.3697349317371844,1e-07,up
4.6,0.27969601005315775,1e-07,up
4.8,0.3792942082509398,1e-07,up
5.0,0.5793053992092608,1e-07,up
5.2,0.3913901019841432,1e-07,up
5.4,0.22579051740467543,1e-07,up
